Time_ms,Timestamp_UTC,Event,Asset_ID,Bid,Ask,Trade_Price,Trade_Side
451.063,2025-12-03 16:28:43.769361,last_trade_price,27348646498950720408334900366443375441481658518909758878091645553854567750581,N/A,N/A,0.99,BUY
243.763,2025-12-03 16:38:37.002193,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.97,0.98,N/A,N/A
206.874,2025-12-03 16:38:37.209045,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.03,N/A,N/A
2912.565,2025-12-03 16:38:39.670943,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.98,BUY
1498.336,2025-12-03 16:38:41.169278,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.98,BUY
4226.653,2025-12-03 16:38:41.435683,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
300.353,2025-12-03 16:38:41.469631,last_trade_price,69548848838644424871526436777754773226088153389257359567869426947003702924752,N/A,N/A,0.04,BUY
1172.500,2025-12-03 16:38:42.608194,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.04,N/A,N/A
2105.092,2025-12-03 16:38:43.574723,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.98,BUY
972.647,2025-12-03 16:38:43.580824,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.97,0.98,N/A,N/A
45.227,2025-12-03 16:38:43.626041,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.03,N/A,N/A
1303.902,2025-12-03 16:38:44.878632,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.98,BUY
1412.610,2025-12-03 16:38:45.038651,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
34.531,2025-12-03 16:38:45.073195,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.04,N/A,N/A
9.974,2025-12-03 16:38:45.083158,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.97,N/A,N/A
332.564,2025-12-03 16:38:45.211187,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.97,BUY
2974.525,2025-12-03 16:38:48.057690,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.97,0.98,N/A,N/A
0.085,2025-12-03 16:38:48.057761,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.03,N/A,N/A
2876.298,2025-12-03 16:38:48.087483,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.97,BUY
1968.103,2025-12-03 16:38:50.025880,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
1977.024,2025-12-03 16:38:50.064511,last_trade_price,69548848838644424871526436777754773226088153389257359567869426947003702924752,N/A,N/A,0.03,BUY
52.274,2025-12-03 16:38:50.078149,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.04,N/A,N/A
151.289,2025-12-03 16:38:50.229435,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.97,N/A,N/A
348.235,2025-12-03 16:38:50.412745,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.97,BUY
532.658,2025-12-03 16:38:50.945403,last_trade_price,69548848838644424871526436777754773226088153389257359567869426947003702924752,N/A,N/A,0.03,SELL
1098.909,2025-12-03 16:38:51.328343,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
1.390,2025-12-03 16:38:51.329729,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.97,0.98,N/A,N/A
109.226,2025-12-03 16:38:51.438957,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.03,N/A,N/A
951.046,2025-12-03 16:38:52.390007,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
24.350,2025-12-03 16:38:52.414373,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.04,N/A,N/A
267.179,2025-12-03 16:38:52.681549,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.97,N/A,N/A
65.848,2025-12-03 16:38:52.747401,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.96,0.98,N/A,N/A
1816.204,2025-12-03 16:38:52.761613,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.97,BUY
439.971,2025-12-03 16:38:53.187369,price_change,69548848838644424871526436777754773226088153389257359567869426947003702924752,0.02,0.03,N/A,N/A
279.945,2025-12-03 16:38:53.467323,price_change,402677948367945805044138685347569617513245272913180041749970866193046624187,0.97,0.98,N/A,N/A
4034.803,2025-12-03 16:38:56.796413,last_trade_price,402677948367945805044138685347569617513245272913180041749970866193046624187,N/A,N/A,0.98,BUY
0.686,2025-12-03 16:50:04.953185,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.91,0.92,N/A,N/A
186.491,2025-12-03 16:50:05.139680,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.08,0.09,N/A,N/A
1.990,2025-12-03 16:50:05.141668,price_change,62821584999194204677030312357514625732120653880941433118379705851963857868115,0.11,0.12,N/A,N/A
0.075,2025-12-03 16:50:05.141722,price_change,105303519141156126597994413744067342207274087598379684257383439577819586745915,0.88,0.89,N/A,N/A
211.275,2025-12-03 16:50:05.163754,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.92,BUY
45.230,2025-12-03 16:50:05.208985,last_trade_price,62821584999194204677030312357514625732120653880941433118379705851963857868115,N/A,N/A,0.1,BUY
48.123,2025-12-03 16:50:05.257108,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.89,BUY
38.819,2025-12-03 16:50:05.295928,last_trade_price,105303519141156126597994413744067342207274087598379684257383439577819586745915,N/A,N/A,0.89,BUY
