Timestamp,Side,Thought entry price,Actual entry price,Spread,Velocity,OrderID,Size,Tick_1,Tick_2,Tick_3,Tick_4,Tick_5,Tick_6,Tick_7,Tick_8
1764681419.7339642,UP,0.85,0.86,0.01,2534.1,0x24192e7cc672d54c538f5c8584d475ee52235ff6c1a72aee17db5c54a67efbc4,1.26,0.88,0.88,0.89,0.89,0.89,0.89,0.89,0.89
1764681414.3083436,UP,0.83,0.84,0.02,1790.5,0x634371294192c241ffba311d04453cc0a92670406ab5245d1a96eea008f485f8,1.29,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
1764681407.9377732,DOWN,0.2,0.2,0.02,-1012.2,0xb82e5d0a47777f0be733b4866ec5c533dc18bfadd1d74a5891e55e5c2b38e493,5.4,0.2,0.2,0.2,0.2,0.2,0.19,0.19,0.19
1764681540.9671793,DOWN,0.17,0.19,0.01,-1012.5,0x74897f744448a80cd382d868ed87aa44a186038fd821b8144fb88eef88d13385,5.68,0.19,0.2,0.2,0.22,0.22,0.22,0.23,0.23
1764681534.7197378,DOWN,0.15,0.15,0.01,-1183.5,0xa1f2d8159199851168d45dd8df33c8e352ce0f3a60cfe0fe46142e6b0b036b5b,7.2,0.15,0.15,0.15,0.15,0.17,0.17,0.17,0.17
1764681497.2545316,UP,0.85,0.86,0.02,2064.6,0x9af0fe8759698d91cae4433d2f938f7ced533b116a0673b6f9332a7fbef19066,1.26,0.86,0.86,0.86,0.86,0.86,0.88,0.88,0.88
1764681591.304881,DOWN,0.16,0.17,0.01,-1191.2,0xca9ca77896af6aa8db1c1cac985b67f6a4ae1bd47d2cbae088c16592fe79b376,6.35,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
1764681586.0132582,UP,0.8,0.82,0.01,1151.2,0x17ffc4bd29698820331ecb443f4bf660c34e1707ccf1446e47dc761fa98a98ba,1.32,0.82,0.83,0.83,0.83,0.85,0.85,0.85,0.85
1764681579.7493484,DOWN,0.19,0.22,0.01,-1649.1,0x160b199dc5ca1fa7bfdcb639a68ad90ab1b0877be036efd98ee89679c1929608,4.91,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.22
1764681565.7081144,UP,0.84,0.84,0.02,1082.1,0xe98f6d2d4af39a03955220fa6d2bee3332fc1c42dfcd056bfbddf6e2a5e35712,1.29,0.84,0.84,0.84,0.84,0.84,0.84,0.84,0.84
1764681557.0459101,UP,0.81,0.81,0.01,1028.4,0xc0c6f26d1dbc9e5711b02580da9284c6a26d359bd3353c783cf9f1c30f4985c9,1.33,0.82,0.82,0.82,0.82,0.82,0.82,0.82,0.82
1764684221.3004258,DOWN,0.53,0.56,0.01,-1441.9,0x9117e9897948c2584dc367dd7580c524a51925a2969c35fdeddfe7effc8c3dd2,2.41,0.56,0.55,0.56,0.56,0.56,0.56,0.56,0.56
1764684206.4236124,UP,0.45,0.46,0.01,1747.4,0x5b05e6b3066e343757772c19c4f9c0f9b264934a70509e4bb7da2dc504baa266,2.54,0.47,0.47,0.47,0.48,0.48,0.48,0.48,0.48
1764684200.8348641,UP,0.4,0.42,0.02,1002.9,0x0fdd81c3fa5f3b14119a93f84efdf4df7d4c580e7296f18114e50efb7d935602,2.57,0.42,0.43,0.43,0.43,0.44,0.44,0.44,0.44
1764684194.652196,UP,0.31,0.33,0.01,1446.9,0x70f21b28ed536fd205f8d4fa3ab9ae3a149eb157caf9ddfb6c0674eb546cc900,3.27,0.35,0.36,0.36,0.36,0.36,0.36,0.36,0.36
1764684189.1806128,DOWN,0.72,0.73,0.01,-1627.8,0x44db2d31fb5416502e7d305df6a9d865728dcc0d3d9c52083ccc0d67166f47d5,1.48,0.73,0.74,0.74,0.74,0.74,0.74,0.74,0.74
1764684181.6964478,DOWN,0.7,0.71,0.01,-1940.2,0xdb6a0724b2e2c929ab331947f9938552fd028d37f73bd292dea66f46fb26fb85,1.52,0.71,0.72,0.71,0.71,0.71,0.71,0.72,0.72
1764684281.1790986,UP,0.48,0.5,0.02,1291.5,0xec26518a3797bfd254a002c831396f9dbbb38896490cc85b72e75c5535e949a5,2.7,0.5,0.51,0.52,0.53,0.54,0.54,0.55,0.55
1764684268.4267704,UP,0.47,0.49,0.01,1372.7,0xd9b34237c0731aa8ff917cc923caee2987d1470af645f057030cbd76b7d3a029,2.76,0.49,0.49,0.49,0.49,0.49,0.49,0.49,0.49
1764684262.1440063,UP,0.45,0.46,0.01,1148.6,0x58de209a1a0ee71ee26ca19a5dabde17927b4c2157434e6d0f2d316e10f05e0c,2.74,0.46,0.47,0.47,0.47,0.47,0.47,0.47,0.47
1764684251.1926875,DOWN,0.56,0.57,0.01,-1728.4,0x9c8110c14b63d6cb0bb6b2d05a9e122d03573e49cf42a3802e5541d3f47eb29d,2.05,0.57,0.58,0.58,0.59,0.59,0.6,0.6,0.6
1764684245.8694124,UP,0.4,0.43,0.01,1505.1,0xb56f06992c82e73b0773588966c1b022d125e3d9cf80d48836d4ad8e1094a55e,2.51,0.43,0.43,0.42,0.42,0.42,0.42,0.44,0.44
1764684315.527109,DOWN,0.31,0.33,0.02,-1252.2,0x8c293d7bfb2b0d95a981a80f88d4d9c2943f461418ff9cf66de506b8fb626782,3.27,0.33,0.32,0.33,0.33,0.33,0.33,0.33,0.33
1764684310.1994948,UP,0.62,0.62,0.01,1309.2,0x1bec8017de663e9bf43ff5dd63bc0792341e4a878fcde510085269b06a1c24a6,1.74,0.62,0.65,0.65,0.7,0.7,0.71,0.71,0.71
1764684299.1097262,UP,0.6,0.6,0.01,1023.9,0x6e267a88ef8d33e815bbaeb9722069e66e781c0636fdb6d50044442d3510c308,1.8,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
1764684289.0252473,UP,0.57,0.58,0.01,1774.5,0xfd6478900d1454028ac944e2917e56c80b6a29a39b05f86eb93777e9740bbba3,1.86,0.59,0.59,0.59,0.59,0.59,0.58,0.57,0.56
1764684911.1918795,DOWN,0.59,0.61,0.02,-3458.6,0x9500bc4b2577c81c4860ff8c0f49a1216c40c5de867e8e0011cd60cec721e502,1.77,0.61,0.6,0.58,0.58,0.57,0.57,0.57,0.57
1764684968.388024,UP,0.56,0.57,0.02,1527.6,0x78dfa8c135a196a1bf7514a7fa5a4cff17950ac55b313b95229bdde41ab83023,1.89,0.56,0.57,0.56,0.56,0.56,0.55,0.55,0.54
1764684961.607823,UP,0.52,0.56,0.01,1685.3,0xbfdb366ae62b672b0f72605060d3d6e6e691dce3d6357945d175e5caa946ffea,1.93,0.56,0.58,0.58,0.58,0.59,0.59,0.59,0.59
1764684956.386406,DOWN,0.44,0.47,0.01,-2476.4,0x0d41f060760d848f5f9b18a8859cb5a3e1f8607332a39db381e409dd89c542c8,2.3,0.47,0.48,0.48,0.48,0.48,0.48,0.48,0.48
